store_name,tel_number,keyword,closed_holiday,food_category,distance,breaktime,opentime,address,created_at,updated_at,price_feel
인차이나,02-971-4009,"['짬뽕', '짜장면']",-,중식,10분,-,11:00-21:30,서울 노원구 공릉로 167,-,-,2
옹기종기 쌈밥,02-972-9488,"['쌈밥', '찌개']",-,한식,15분,-,-,서울 노원구 공릉로58길 126,-,-,2
The 맛나곱창,02-948-5453,['곱창'],월요일,한식,10분,-,16:00-1:00,서울 노원구 동일로198길 36,-,-,3
강원 옹심이메밀칼국수,02-977-6662,"['옹심이', '막국수']",토요일,한식,10분,-,10:00-21:00 | 금요일 10:00-18:00,서울 노원구 공릉로41길 5,-,-,2
퀴헨(Kuchen),010-2396-9171,"['갈비', '쌈밥']",일요일,한식,15분,15:30-17:00,11:30,서울 노원구 공릉로58길 120,-,-,3
닭사랑,02-971-9995,"['칼국수', '백숙']",-,한식,5분,-,-,서울 노원구 공릉로 229-1 공릉동비발디캐슬,-,-,2
버거킹 공릉역점,070-7438-8217,['햄버거'],-,양식,15분,-,09:00-23:00,서울 노원구 동일로 1085,-,-,2
롯데리아 공릉역점,02-977-2430,['햄버거'],-,양식,10분,-,10:00-24:00,서울 노원구 동일로192길 27,-,-,2
만스피자,02-973-1818,['피자'],연중무휴,양식,"['배달', 5분']",-,11:00-01:00,서울 노원구 공릉로 223 도곡빌딩,-,-,2
멍텅구리즉석떡볶이,02-978-4645,"['떡볶이', '즉석떡볶이']",명절휴무,분식,5분,-,10:00-22:00,서울 노원구 공릉로51길 14-2,-,-,2
장터솥단지삼겹살,02-976-1134,"['삼겹살', '불고기']",-,한식,5분,-,10:00-22:00,서울 노원구 공릉2동 453-2 중앙빌딩 1층,-,-,3
엉터리생고기 공릉점,02-977-9569,"['삼겹살', '목살']",-,한식,10분,-,11:30-24:00,서울 노원구 공릉로46길 6,-,-,3
초통삼,02-979-3792,['삼겹살'],-,한식,5분,-,11:30-23:00,서울 노원구 동일로192길 90 2층,-,-,3
전설의짬뽕 공릉점,02-977-8196,"['짬뽕', '짜장면']",월요일,중식,5분,-,11:00-21:00,서울 노원구 동일로192길 80,-,-,2
소문난기사식당,02-978-8602,"['불백', '김치찌개']",-,한식,10분,-,00:00-24:00,서울 노원구 동일로192길 30,-,-,2
미스 사이공,02-976-8224,"['쌀국수', '팟타이']",-,양식,10분,-,-,서울 노원구 동일로192길 26,-,-,1
춘천 닭갈비,02-975-2345,['닭갈비'],-,한식,10분,-,12:00-24:00,서울 노원구 동일로192길 56,-,-,3
족발야시장 공릉점,02-979-4969,"['족발', '보쌈']",-,한식,10분,-,15:00-02:00,서울 노원구 동일로192길 37,-,-,3
가장맛있는족발(가족) 공릉점,02-978-5849,"['족발', '보쌈']",-,한식,10분,-,15:00-02:00,서울 노원구 동일로192길 46,-,-,3
피자마루 서울공릉점,02-979-1083,['피자'],-,양식,5분,-,11:00-23:00,서울 노원구 공릉로 196,-,-,2
신가쯔,050-7893-2215,"['돈까스', '회덮밥']",-,일식,10분,-,11:00-20:50,서울 노원구 공릉로43길 18,-,-,3
원조 이모네연탄불곱창,02-973-4658,['막창'],일요일,한식,10분,-,18:00-03:00,서울 노원구 동일로192길 46,-,-,3
